ballot_receipt_date_law,state,color_map_law
ballot must be received by or on 3 nov,AL,brown
ballot must be received by or on 3 nov,AZ,purple
ballot must be received by or on 3 nov,AR,green
ballot must be received by or on 3 nov,CO,purple
ballot must be received by or on 3 nov,CT,grey
ballot must be received by or on 3 nov,DE,purple
ballot must be received by or on 3 nov,FL,green
ballot must be received by or on 3 nov,GA,green
ballot must be received by or on 3 nov,HI,purple
ballot must be received by or on 3 nov,ID,green
ballot must be received by or on 3 nov,IN,green
ballot must be received by or on 3 nov,LA,green
ballot must be received by or on 3 nov,ME,brown
ballot must be received by or on 3 nov,MI,green
ballot must be received by or on 3 nov,MO,green
ballot must be received by or on 3 nov,MT,purple
ballot must be received by or on 3 nov,NE,grey
ballot must be received by or on 3 nov,NH,brown
ballot must be received by or on 3 nov,NM,green
ballot must be received by or on 3 nov,OK,green
ballot must be received by or on 3 nov,OR,green
ballot must be received by or on 3 nov,RI,purple
ballot must be received by or on 3 nov,SC,green
ballot must be received by or on 3 nov,SD,brown
ballot must be received by or on 3 nov,TN,green
ballot must be received by or on 3 nov,VT,brown
ballot must be received by or on 3 nov,WI,grey
ballot must be received by or on 3 nov,WY,green
ballot may be received after 3 nov,AK,brown
ballot may be received after 3 nov,CA,green
ballot may be received after 3 nov,DC,brown
ballot may be received after 3 nov,IA,purple
ballot may be received after 3 nov,IL,brown
ballot may be received after 3 nov,KS,brown
ballot may be received after 3 nov,KY,green
ballot may be received after 3 nov,MA,purple
ballot may be received after 3 nov,MD,purple
ballot may be received after 3 nov,MN,brown
ballot may be received after 3 nov,MS,brown
ballot may be received after 3 nov,NC,green
ballot may be received after 3 nov,ND,green
ballot may be received after 3 nov,NJ,purple
ballot may be received after 3 nov,NV,purple
ballot may be received after 3 nov,NY,light_purple
ballot may be received after 3 nov,OH,green
ballot may be received after 3 nov,PA,brown
ballot may be received after 3 nov,TX,grey
ballot may be received after 3 nov,UT,purple
ballot may be received after 3 nov,VA,green
ballot may be received after 3 nov,WA,brown
ballot may be received after 3 nov,WV,brown
